item_id,item_name,item_equality,drop_weight,max_stack,sell_price,unit_weight,grid_width,grid_height,icon_path,item_description
int,string,int,float,int,int,float,int,int,string,string
物品唯一ID，普通物品使用1～9999号段,显示名称,品质：0白、1绿、2蓝、3紫、4金,同品质候选中的相对权重,单格最大堆叠数，当前最多3,单个物品出售价格,单个物品重量,占用格宽，当前固定1,占用格高，当前固定1,图标资源路径，可留空使用名称首字占位,物品说明
1,裂纹铜币,0,40,3,12,0.05,1,1,res://assets/art/items/icons/loot/item_001_cracked_coin.png,边缘已经磨平，仍能换到几枚钱。
2,木雕小鸟,0,35,3,18,0.12,1,1,res://assets/art/items/icons/loot/item_002_wooden_bird.png,手艺朴素的小鸟木雕，适合作为旅行纪念。
3,旧式怀表,0,25,2,35,0.18,1,1,res://assets/art/items/icons/loot/item_003_old_pocket_watch.png,指针偶尔停摆，外壳还有修复价值。
4,缺口短剑,0,30,1,28,1.8,1,1,res://assets/art/items/icons/loot/item_004_chipped_short_sword.png,刃口布满缺口，只剩陈列用途。
5,生锈勋章,0,35,3,16,0.06,1,1,res://assets/art/items/icons/loot/item_005_rusted_medal.png,来历不明的旧勋章，背面刻字已经模糊。
6,陶制酒杯,0,30,2,22,0.35,1,1,res://assets/art/items/icons/loot/item_006_clay_goblet.png,粗陶烧制的酒杯，杯沿有轻微磕痕。
7,磨损棋子,0,40,3,12,0.1,1,1,res://assets/art/items/icons/loot/item_007_worn_chess_piece.png,失散棋组中的一枚木质棋子。
8,玻璃胸针,0,30,3,24,0.05,1,1,res://assets/art/items/icons/loot/item_008_glass_brooch.png,普通玻璃制成的胸针，造型还算讨喜。
9,皮革剑鞘,0,30,1,32,0.7,1,1,res://assets/art/items/icons/loot/item_009_leather_scabbard.png,皮革已经变硬，装饰铆钉仍然完整。
10,贝壳项链,0,35,3,20,0.08,1,1,res://assets/art/items/icons/loot/item_010_shell_necklace.png,由细小贝壳串成，带着海风气息。
11,旧铜烛台,0,25,2,40,0.6,1,1,res://assets/art/items/icons/loot/item_011_old_copper_candlestick.png,沾有蜡痕的老式铜烛台。
12,兽牙挂坠,0,35,3,21,0.06,1,1,res://assets/art/items/icons/loot/item_012_beast_fang_pendant.png,经过打磨的兽牙挂坠，常见于猎人集市。
13,翡翠碎片,1,40,3,55,0.05,1,1,res://assets/art/items/icons/loot/item_013_jade_fragment.png,未经切割的翠绿色宝石碎片。
14,精钢匕首,1,25,1,90,0.65,1,1,res://assets/art/items/icons/loot/item_014_steel_dagger.png,刃面保存完好，适合作为武器藏品。
15,银丝手链,1,30,3,75,0.08,1,1,res://assets/art/items/icons/loot/item_015_silver_wire_bracelet.png,银丝编织细密，扣环仍然牢固。
16,上弦音乐盒,1,15,1,110,1.2,1,1,res://assets/art/items/icons/loot/item_016_windup_music_box.png,转动发条后还能奏出短促旋律。
17,月纹酒壶,1,20,2,95,0.55,1,1,res://assets/art/items/icons/loot/item_017_moon_etched_flask.png,壶身刻着一轮细小的新月。
18,黄铜望远镜,1,15,1,105,1.1,1,1,res://assets/art/items/icons/loot/item_018_brass_spyglass.png,镜片略有划痕，机械结构仍可伸缩。
19,古典墨水瓶,1,35,3,60,0.3,1,1,res://assets/art/items/icons/loot/item_019_antique_ink_bottle.png,厚玻璃瓶底沉着已经干涸的蓝墨。
20,浮雕烟盒,1,30,2,80,0.18,1,1,res://assets/art/items/icons/loot/item_020_embossed_cigarette_case.png,盒盖浮雕描绘着远航的帆船。
21,银叶书签,1,35,3,65,0.03,1,1,res://assets/art/items/icons/loot/item_021_silver_leaf_bookmark.png,薄银片压制成叶脉分明的书签。
22,旅行者罗盘,1,14,1,108,0.3,1,1,res://assets/art/items/icons/loot/item_022_travelers_compass.png,指针尚能辨别方向，外壳刻满旅途划痕。
23,秘银长剑,2,10,1,300,2.2,1,1,res://assets/art/items/icons/loot/item_023_mithril_long_sword.png,轻盈而明亮的长剑，刃上没有锈迹。
24,星图仪,2,8,1,320,1.6,1,1,res://assets/art/items/icons/loot/item_024_star_chart_instrument.png,多层铜环标记着古老的星辰轨迹。
25,蓝晶胸针,2,28,3,210,0.06,1,1,res://assets/art/items/icons/loot/item_025_blue_crystal_brooch.png,蓝色晶石排列成绽放花朵的形状。
26,银月酒杯,2,32,2,190,0.45,1,1,res://assets/art/items/icons/loot/item_026_silver_moon_goblet.png,杯壁镶着弯月形银片。
27,魔导镜片,2,15,2,260,0.25,1,1,res://assets/art/items/icons/loot/item_027_arcane_lens.png,注入微光后会浮现短暂的符文。
28,冰纹匕首,2,10,1,290,0.75,1,1,res://assets/art/items/icons/loot/item_028_frost_pattern_dagger.png,刀身分布着如冰裂般的天然纹路。
29,宝石冠饰,2,8,1,310,0.6,1,1,res://assets/art/items/icons/loot/item_029_jeweled_coronet.png,小型冠饰镶嵌着成排的彩色宝石。
30,蓝釉龙像,2,18,1,250,1.8,1,1,res://assets/art/items/icons/loot/item_030_blue_glazed_dragon.png,釉色深蓝的小型盘龙雕像。
31,紫晶权杖,3,12,1,780,2,1,1,res://assets/art/items/icons/loot/item_031_amethyst_scepter.png,顶端紫晶在暗处仍有微弱辉光。
32,古王印玺,3,14,2,720,0.2,1,1,res://assets/art/items/icons/loot/item_032_ancient_king_signet.png,底部刻着已经失传的古王徽记。
33,龙鳞酒壶,3,25,2,560,0.65,1,1,res://assets/art/items/icons/loot/item_033_dragon_scale_flask.png,壶身覆盖着层叠的龙鳞形银片。
34,紫曜石雕像,3,10,1,800,2.8,1,1,res://assets/art/items/icons/loot/item_034_purple_obsidian_guard.png,整块紫曜石雕成的守卫雕像。
35,天文怀表,3,13,2,740,0.22,1,1,res://assets/art/items/icons/loot/item_035_astronomical_pocket_watch.png,表盘同时记录时间与星相位置。
